,data_name,n_sample,n_itr,type,MSE,Corr,MAE,R2
Torque1_n5_itr0_WOTL,Torque1,5,0,Without transfer,426.31720158116843,0.1450717809963107,15.750709203066734,-0.029310187570185775
Torque1_n5_itr0_ONLY,Torque1,5,0,Using only source features,430.60229975896095,0.3418271271897329,15.757557966299274,-0.03965622848240202
Torque1_n5_itr0_WITH,Torque1,5,0,With source features,431.2670335010677,0.1748951046604892,15.853660971094117,-0.041261177122134285
Torque1_n5_itr0_RES,Torque1,5,0,Leraning the residuals,418.4180242546824,0.34051517226416017,15.486640884028214,-0.010238229728889436
Torque1_n5_itr0_RATE,Torque1,5,0,Learning the rates,400.87962628437606,0.21767082890120495,14.842907589465842,0.0321068870938469
Torque1_n5_itr0_AffineTrans,Torque1,5,0,Proposed method,417.34290865625684,0.32986228411561846,15.469996967244175,-0.007642445570589684
Torque1_n5_itr0_AffineTrans2,Torque1,5,0,Proposed method 2,432.71527909072773,0.08760313271014837,15.830414904924783,-0.04475785502772145
Torque1_n5_itr0_AffineTrans3,Torque1,5,0,Proposed method 3,413.9704983738232,0.32773657183567506,15.387479422597755,0.0004999804152744369
Torque1_n5_itr1_WOTL,Torque1,5,1,Without transfer,475.6117689114078,0.2573960620039316,16.103687803523307,-0.14832813982895554
Torque1_n5_itr1_ONLY,Torque1,5,1,Using only source features,4921.801548801951,-0.15113338031386944,56.27549317121066,-10.883312370673876
Torque1_n5_itr1_WITH,Torque1,5,1,With source features,581.5960761985351,0.21917797266291403,18.32133557845475,-0.4042191214937876
Torque1_n5_itr1_RES,Torque1,5,1,Leraning the residuals,4921.801548801932,-0.1511333803138698,56.275493171210535,-10.88331237067383
Torque1_n5_itr1_RATE,Torque1,5,1,Learning the rates,3070.32740655193,-0.1510173749079743,44.10541384195045,-6.413070049762329
Torque1_n5_itr1_AffineTrans,Torque1,5,1,Proposed method,416.4071631174064,0.2990425746769157,14.899271009593239,-0.005383159732392784
Torque1_n5_itr1_AffineTrans2,Torque1,5,1,Proposed method 2,479.395551932293,0.33454642920192856,15.886254842740481,-0.15746379374230268
Torque1_n5_itr1_AffineTrans3,Torque1,5,1,Proposed method 3,441.1849500154349,0.2797289772642379,15.401267641572723,-0.06520722590892003
Torque1_n5_itr2_WOTL,Torque1,5,2,Without transfer,493.4531256957373,0.3330523371451,16.759342932583742,-0.19140472747325776
Torque1_n5_itr2_ONLY,Torque1,5,2,Using only source features,708.7922492386073,0.388090073788016,21.44549471987223,-0.7113245262123893
Torque1_n5_itr2_WITH,Torque1,5,2,With source features,530.7699120840806,0.3469707160264464,17.603780457483303,-0.28150324626265033
Torque1_n5_itr2_RES,Torque1,5,2,Leraning the residuals,708.7922492386067,0.38809007378801613,21.445494719872222,-0.711324526212388
Torque1_n5_itr2_RATE,Torque1,5,2,Learning the rates,708.7922492386065,0.38809007378801613,21.445494719872215,-0.7113245262123873
Torque1_n5_itr2_AffineTrans,Torque1,5,2,Proposed method,556.8743548671258,0.34060740557048896,18.521994086535187,-0.34453042132801226
Torque1_n5_itr2_AffineTrans2,Torque1,5,2,Proposed method 2,420.8272274365634,0.34195855517085677,15.332072903733943,-0.016055066041942734
Torque1_n5_itr2_AffineTrans3,Torque1,5,2,Proposed method 3,617.6776655438046,0.36202756751597,19.76785124017564,-0.49133535175394183
Torque1_n5_itr3_WOTL,Torque1,5,3,Without transfer,556.5524588170359,0.19149469023599203,17.780334855202955,-0.3437532280023212
Torque1_n5_itr3_ONLY,Torque1,5,3,Using only source features,467.79675025210133,0.2983587326267806,16.336762115573446,-0.12945937663516327
Torque1_n5_itr3_WITH,Torque1,5,3,With source features,520.9443329691022,0.2474923995842435,17.153437195847467,-0.2577801390450343
Torque1_n5_itr3_RES,Torque1,5,3,Leraning the residuals,467.8494193846297,0.29836336258345775,16.337399671673527,-0.12958654221628652
Torque1_n5_itr3_RATE,Torque1,5,3,Learning the rates,431.6281471512566,0.2985459857610801,15.532474865743428,-0.042133058335539264
Torque1_n5_itr3_AffineTrans,Torque1,5,3,Proposed method,649.8229607902474,0.12319735450591279,19.528068765856922,-0.5689477017996281
Torque1_n5_itr3_AffineTrans2,Torque1,5,3,Proposed method 2,678.757375434688,0.06768994572545166,20.040468436694347,-0.6388076268846177
Torque1_n5_itr3_AffineTrans3,Torque1,5,3,Proposed method 3,482.9501916741251,0.31289722456551633,16.510665963519532,-0.16604619878211668
Torque1_n5_itr4_WOTL,Torque1,5,4,Without transfer,656.6220296792911,0.05753236459180083,20.5439545594347,-0.5853635321896007
Torque1_n5_itr4_ONLY,Torque1,5,4,Using only source features,456.9428049464067,0.3737996298996755,16.606059156541956,-0.10325335811879821
Torque1_n5_itr4_WITH,Torque1,5,4,With source features,656.5632710627424,0.1120956944768343,20.543079191872632,-0.5852216640163326
Torque1_n5_itr4_RES,Torque1,5,4,Leraning the residuals,456.94280494640907,0.37379962989967547,16.606059156542017,-0.10325335811880398
Torque1_n5_itr4_RATE,Torque1,5,4,Learning the rates,456.9428049464088,0.3737996298996754,16.60605915654201,-0.1032533581188031
Torque1_n5_itr4_AffineTrans,Torque1,5,4,Proposed method,629.8982765984639,0.39847976688174075,20.11449012562036,-0.5208410799071579
Torque1_n5_itr4_AffineTrans2,Torque1,5,4,Proposed method 2,656.9680809224349,0.0556528590163975,20.55309944241274,-0.5861990463763802
Torque1_n5_itr4_AffineTrans3,Torque1,5,4,Proposed method 3,653.6339118885197,0.28503625464054,20.50171836939468,-0.5781489509522189
Torque1_n5_itr5_WOTL,Torque1,5,5,Without transfer,449.79626039766805,-0.003866350330006633,16.25957545997966,-0.08599857439752645
Torque1_n5_itr5_ONLY,Torque1,5,5,Using only source features,449.45009965212967,0.4058269898939259,16.227922697593506,-0.08516279582561315
Torque1_n5_itr5_WITH,Torque1,5,5,With source features,430.46946090068855,0.11893822917627254,15.782900785990542,-0.03933549924694568
Torque1_n5_itr5_RES,Torque1,5,5,Leraning the residuals,447.620133738104,0.006329070930062138,16.212593372671243,-0.08074448347221375
Torque1_n5_itr5_RATE,Torque1,5,5,Learning the rates,447.03115830774266,0.005390641580917815,16.197723322675248,-0.07932244746604034
Torque1_n5_itr5_AffineTrans,Torque1,5,5,Proposed method,444.2116014658464,0.012700400644810565,16.133006549353336,-0.07251484371223205
Torque1_n5_itr5_AffineTrans2,Torque1,5,5,Proposed method 2,446.4058546061591,0.001516788210577138,16.181803283169405,-0.07781269963513382
Torque1_n5_itr5_AffineTrans3,Torque1,5,5,Proposed method 3,449.7210436412722,-0.0036885613814410536,16.257795036054635,-0.08581696930782545
Torque1_n5_itr6_WOTL,Torque1,5,6,Without transfer,508.37577558650355,0.27344239938349413,17.010230769023714,-0.22743432116814022
Torque1_n5_itr6_ONLY,Torque1,5,6,Using only source features,442.5823979990358,0.4143577201880885,15.848255233783629,-0.06858125689051042
Torque1_n5_itr6_WITH,Torque1,5,6,With source features,453.1001768842078,0.3346978366866167,16.03713123794165,-0.09397562736621601
Torque1_n5_itr6_RES,Torque1,5,6,Leraning the residuals,442.5829001646875,0.4143661820272506,15.848244030598602,-0.06858246933096379
Torque1_n5_itr6_RATE,Torque1,5,6,Learning the rates,442.6025627098474,0.41435767949850105,15.848690424027298,-0.06862994303826819
Torque1_n5_itr6_AffineTrans,Torque1,5,6,Proposed method,425.76041313004976,0.4245008703171814,15.54262187350764,-0.027965864556870113
Torque1_n5_itr6_AffineTrans2,Torque1,5,6,Proposed method 2,409.56010134356416,0.29151258673531033,15.429816080317245,0.011148545797196041
Torque1_n5_itr6_AffineTrans3,Torque1,5,6,Proposed method 3,434.2052889725519,0.41567430537651884,15.763428289327186,-0.04835536961370002
Torque1_n5_itr7_WOTL,Torque1,5,7,Without transfer,339.1150979701328,0.4842745021508092,13.383349199917646,0.18123260378678097
Torque1_n5_itr7_ONLY,Torque1,5,7,Using only source features,421.3535337918151,0.38933381678026047,15.371616072520478,-0.01732579237255827
Torque1_n5_itr7_WITH,Torque1,5,7,With source features,332.9480005411767,0.5041891823929919,13.161803196075434,0.1961225875543109
Torque1_n5_itr7_RES,Torque1,5,7,Leraning the residuals,338.665040695761,0.48614332044935654,13.368903813677894,0.18231923255940108
Torque1_n5_itr7_RATE,Torque1,5,7,Learning the rates,339.8266061324603,0.48631782959464664,13.389518053441192,0.17951472189670759
Torque1_n5_itr7_AffineTrans,Torque1,5,7,Proposed method,355.1960496169943,0.4813854193537021,13.66022963717476,0.1424063793357213
Torque1_n5_itr7_AffineTrans2,Torque1,5,7,Proposed method 2,341.91284860057175,0.4869028133393921,13.437888741594595,0.17447764945814725
Torque1_n5_itr7_AffineTrans3,Torque1,5,7,Proposed method 3,336.91240022765163,0.48587131775212744,13.360871987900683,0.18655084855397464
Torque1_n5_itr8_WOTL,Torque1,5,8,Without transfer,440.3718463196701,0.4850542301894317,16.021688067087755,-0.06324404939505324
Torque1_n5_itr8_ONLY,Torque1,5,8,Using only source features,381.73739031546,0.41411458692929,14.508838018622118,0.07832434776069341
Torque1_n5_itr8_WITH,Torque1,5,8,With source features,343.05194896240084,0.4834449863694856,13.550975770871345,0.1717273789958086
Torque1_n5_itr8_RES,Torque1,5,8,Leraning the residuals,354.5241712229545,0.4657121387100215,13.837149098293102,0.14402857818959924
Torque1_n5_itr8_RATE,Torque1,5,8,Learning the rates,1121.3099227187213,-0.10818185979530907,26.70119315087751,-1.707316811513102
Torque1_n5_itr8_AffineTrans,Torque1,5,8,Proposed method,395.29973164957016,0.3737038969813937,14.937475326836749,0.04557911474938625
Torque1_n5_itr8_AffineTrans2,Torque1,5,8,Proposed method 2,465.16288129140383,0.23997140985370594,16.402066622419998,-0.12310010202950394
Torque1_n5_itr8_AffineTrans3,Torque1,5,8,Proposed method 3,389.19566600015384,0.435234148696114,14.72890317442689,0.06031691311932874
Torque1_n5_itr9_WOTL,Torque1,5,9,Without transfer,504.66185531403517,0.29345608658467437,17.53535482399584,-0.21846734550284475
Torque1_n5_itr9_ONLY,Torque1,5,9,Using only source features,513.5209136687332,0.1566800726957699,17.481290153145487,-0.23985686247037274
Torque1_n5_itr9_WITH,Torque1,5,9,With source features,468.7390129268227,0.3210393429624059,16.567507049034706,-0.13173439759810046
Torque1_n5_itr9_RES,Torque1,5,9,Leraning the residuals,489.4503512994328,0.2616219715651997,17.00330573297458,-0.18174033567911874
Torque1_n5_itr9_RATE,Torque1,5,9,Learning the rates,477.63794357701477,0.2553602022459976,16.740513535201956,-0.15322018316516317
Torque1_n5_itr9_AffineTrans,Torque1,5,9,Proposed method,532.419069161599,0.281132815780892,18.088790362800196,-0.28548500954711864
Torque1_n5_itr9_AffineTrans2,Torque1,5,9,Proposed method 2,432.1409213846962,0.2802091198424174,15.678493716810598,-0.04337111239586178
Torque1_n5_itr9_AffineTrans3,Torque1,5,9,Proposed method 3,525.9937709855694,0.27577318880139984,17.988888618439923,-0.26997161987803175
Torque1_n5_itr10_WOTL,Torque1,5,10,Without transfer,286.07419298446,0.6027601691643077,11.802056901137135,0.3092958009958209
Torque1_n5_itr10_ONLY,Torque1,5,10,Using only source features,383.87002378148486,0.40183712716048586,14.32455522686907,0.07317526781554706
Torque1_n5_itr10_WITH,Torque1,5,10,With source features,306.35441530506716,0.5367229216947698,12.265180294976286,0.2603307595586769
Torque1_n5_itr10_RES,Torque1,5,10,Leraning the residuals,383.87002378148486,0.40183712716048653,14.324555226869052,0.07317526781554706
Torque1_n5_itr10_RATE,Torque1,5,10,Learning the rates,383.87002378148657,0.4018371271604858,14.324555226869121,0.07317526781554295
Torque1_n5_itr10_AffineTrans,Torque1,5,10,Proposed method,384.53882155829064,0.40584400784950236,14.528233425044306,0.07156050687571813
Torque1_n5_itr10_AffineTrans2,Torque1,5,10,Proposed method 2,520.604355421288,-0.170970365140163,16.994961797245736,-0.2569592893298165
Torque1_n5_itr10_AffineTrans3,Torque1,5,10,Proposed method 3,391.8604065713551,0.4040770009837715,14.74572338919847,0.053883101377752096
Torque1_n5_itr11_WOTL,Torque1,5,11,Without transfer,498.54972396891463,0.3033378601695109,17.30406502988292,-0.20371007312920875
Torque1_n5_itr11_ONLY,Torque1,5,11,Using only source features,498.9679788885176,0.28706732658045786,17.3145778434892,-0.2047199175552652
Torque1_n5_itr11_WITH,Torque1,5,11,With source features,498.5005191441061,0.3483839990382668,17.30342006668129,-0.20359127185338588
Torque1_n5_itr11_RES,Torque1,5,11,Leraning the residuals,498.7431002238924,0.3680789185727666,17.309745734474856,-0.20417696526620088
Torque1_n5_itr11_RATE,Torque1,5,11,Learning the rates,496.79548909325007,0.36867390489032936,17.267981478946073,-0.19947460755987323
Torque1_n5_itr11_AffineTrans,Torque1,5,11,Proposed method,325.59643033238854,0.6067681983051996,13.533547016062426,0.21387239000768998
Torque1_n5_itr11_AffineTrans2,Torque1,5,11,Proposed method 2,496.74339183520317,0.30390792388117915,17.264752838790017,-0.19934882272582666
Torque1_n5_itr11_AffineTrans3,Torque1,5,11,Proposed method 3,497.97964969063236,0.3961417221272976,17.30528574153253,-0.20233367250513967
Torque1_n5_itr12_WOTL,Torque1,5,12,Without transfer,575.5593741962828,0.28288016525828186,17.998625243138317,-0.3896439674835861
Torque1_n5_itr12_ONLY,Torque1,5,12,Using only source features,439.26682995420435,0.061992173318156964,15.658363875351615,-0.0605760721279216
Torque1_n5_itr12_WITH,Torque1,5,12,With source features,617.032284693603,0.24809215437393242,18.928099583059552,-0.4897771291874786
Torque1_n5_itr12_RES,Torque1,5,12,Leraning the residuals,524.7008739159027,0.19715936596030031,16.871933236850314,-0.26685001905978667
Torque1_n5_itr12_RATE,Torque1,5,12,Learning the rates,470.2833844338242,0.1356658003909773,16.34838208340935,-0.13546316415890058
Torque1_n5_itr12_AffineTrans,Torque1,5,12,Proposed method,510.62107867592346,0.17711132831650095,16.613492574699755,-0.2328554332779753
Torque1_n5_itr12_AffineTrans2,Torque1,5,12,Proposed method 2,612.650442291287,0.1892031462046246,18.98123564906404,-0.4791975067647789
Torque1_n5_itr12_AffineTrans3,Torque1,5,12,Proposed method 3,435.57365525130183,0.06961820784516565,15.553280933631953,-0.05165918504929823
Torque1_n5_itr13_WOTL,Torque1,5,13,Without transfer,467.1272607131432,0.1551215744212896,16.682286425985463,-0.12784294548867092
Torque1_n5_itr13_ONLY,Torque1,5,13,Using only source features,476.8459267569875,0.10607298669877915,16.373335909358374,-0.15130791929554377
Torque1_n5_itr13_WITH,Torque1,5,13,With source features,466.648603057207,0.13420663343382214,16.619204700300436,-0.12668726328821966
Torque1_n5_itr13_RES,Torque1,5,13,Leraning the residuals,491.16919432095267,0.09132409440889752,16.961898807092666,-0.1858903503309377
Torque1_n5_itr13_RATE,Torque1,5,13,Learning the rates,644.9626964589194,-0.044536240805445944,19.59030402217515,-0.5572129663210563
Torque1_n5_itr13_AffineTrans,Torque1,5,13,Proposed method,442.6207874378611,0.073037518265789,15.927161637607405,-0.06867394524634385
Torque1_n5_itr13_AffineTrans2,Torque1,5,13,Proposed method 2,442.37088873255493,0.06060895689028982,16.02894274228996,-0.06807058398792365
Torque1_n5_itr13_AffineTrans3,Torque1,5,13,Proposed method 3,467.07233152936175,0.15515508267010233,16.680660061437962,-0.12771032318712772
Torque1_n5_itr14_WOTL,Torque1,5,14,Without transfer,388.05625169828204,0.3669679613798257,14.300571379341317,0.06306794156582352
Torque1_n5_itr14_ONLY,Torque1,5,14,Using only source features,614.9039368656631,0.18709418771917105,19.216493970947504,-0.4846383965868091
Torque1_n5_itr14_WITH,Torque1,5,14,With source features,614.2109109578711,0.31906288005089767,19.20102682023327,-0.48296513868284774
Torque1_n5_itr14_RES,Torque1,5,14,Leraning the residuals,388.25744084836657,0.3669715167182057,14.303262309018736,0.06258218579279229
Torque1_n5_itr14_RATE,Torque1,5,14,Learning the rates,385.84413875172953,0.3607653571298039,14.305747196973991,0.06840891862116483
Torque1_n5_itr14_AffineTrans,Torque1,5,14,Proposed method,458.30897905707405,0.33290049693414464,15.733401826425483,-0.10655188073268529
Torque1_n5_itr14_AffineTrans2,Torque1,5,14,Proposed method 2,540.8679505868112,0.33997311436844463,17.598615898755842,-0.3058841857762009
