,No. source model,Itr,Count,"MSE (train, Wotl)","MSE (train, Fine)","MSE (train, Ext-1)","MSE (train, Ext-2)","MSE (train, Ext-3)","MSE (train, Inv-1)","MSE (train, Inv-2)","MSE (train, Inv-3)","MSE (test, Wotl)","MSE (test, Fine)","MSE (test, Ext-1)","MSE (test, Ext-2)","MSE (test, Ext-3)","MSE (test, Inv-1)","MSE (test, Inv-2)","MSE (test, Inv-3)"
0,66,0,0,2082.750892,136.4052961,2069.474156,1471.903521,2892.820685,3588.663702,3208.450964,2244.119307,79.66212341,94.51660882,105.3451749,87.18479625,211.0687769,219.3808962,129.1150391,196.1329866
1,83,0,1,2082.750892,2158.739618,2737.786425,4516.798189,7155.262858,1932.316294,2001.777396,8947.939599,79.66212341,263.7753101,66.77328801,2822.701084,831.9799086,60.94134485,51.35234175,329.4240408
2,39,0,2,2082.750892,1365.397449,985.468575,3754.945933,10524.79279,1221.159993,1675.047548,8243.914409,79.66212341,124.6790577,58.82144127,78.11217705,120.2858982,43.5096505,187.0368851,42.62705435
3,36,0,3,2082.750892,333.2606294,3766.114104,1571.989817,8308.86249,1966.175076,2687.106904,1523.416294,79.66212341,63.78787974,22.85724674,965.9502056,1392.554648,489.5078808,571.0117069,200.5866945
4,70,0,4,2082.750892,1287.305865,408.8814479,3315.841576,7379.731168,1982.629224,1813.764712,2871.600532,79.66212341,479.8483708,53.62396985,262.3906378,430.2874739,209.9441007,301.4767663,150.6656901
5,95,0,5,2082.750892,1456.570106,899.188843,2060.230875,6119.120001,2071.010661,5611.133175,1871.882417,79.66212341,76.10121401,145.3171713,194.7963746,111.2947552,18.49902951,105.3454133,72.03462671
6,56,0,6,2082.750892,1259.945412,2016.67697,1643.638467,7297.103956,2536.065855,1236.584461,1856.814793,79.66212341,76.51768685,133.9410333,552.4259604,590.4841572,203.722355,463.506165,90.40195474
7,72,0,7,2082.750892,497.7819183,1196.211789,6522.294126,9500.661145,2285.040563,3727.542461,904.1984342,79.66212341,25.90937444,167.5936048,1301.51077,667.885171,133.6660024,36.60290975,770.9200067
8,69,0,8,2082.750892,1120.053842,3228.118399,5546.8463,10221.36795,3656.121313,11695.25822,8021.24259,79.66212341,164.5308309,356.592523,3166.277958,166.5380296,197.4353286,737.2682708,116.8380474
9,42,0,9,2082.750892,907.9711735,1314.072815,2269.089455,2731.799401,1528.290604,4928.556194,1022.888614,79.66212341,32.69832655,39.15539317,117.5942598,168.9944807,227.4706291,224.0947408,198.920621
10,66,1,10,1025.324386,3155.723708,522.0736863,2879.919012,2406.838002,526.9233023,637.8826408,1007.52444,1009.376782,2545.135673,1571.536835,1458.644076,1035.440934,1052.38231,9628.921445,769.586283
11,83,1,11,1025.324386,60.67763249,1906.770795,6256.013288,6458.389629,3027.901658,732.2174798,2883.531027,1009.376782,1428.114157,1720.522803,4984.002446,3483.844684,1925.30171,1842.167006,1568.75875
12,39,1,12,1025.324386,62.31626475,1933.091219,6774.437927,9768.138854,1272.133933,561.6181376,1476.538499,1009.376782,1623.301616,3072.103971,3703.024425,5730.115404,2363.409793,873.9619477,596.8702366
13,36,1,13,1025.324386,326.5735267,2414.541358,2641.256209,8922.600733,1555.872121,4252.628682,967.3171743,1009.376782,359.1892319,1641.417593,247.9782999,3907.787483,1195.504487,1337.676446,544.5086807
14,70,1,14,1025.324386,537.2209008,2052.04093,2668.241461,8664.626439,853.3795413,2005.695453,1037.97324,1009.376782,1061.018335,1683.694476,1705.831571,2070.380876,1272.075422,1285.186501,396.8806989
15,95,1,15,1025.324386,94.5334271,689.0968064,3427.902742,5658.172555,917.631949,1005.036573,168.9092506,1009.376782,485.591745,1687.06166,3936.611421,5738.943402,1179.443334,444.4171025,514.1292933
16,56,1,16,1025.324386,403.8267215,3189.664756,1440.467234,7681.729142,1106.493489,2126.839744,5139.104805,1009.376782,628.5789686,1458.602587,2622.216953,3041.299365,1292.77618,1631.881817,2197.573371
17,72,1,17,1025.324386,467.7141842,1374.330422,6663.696497,8569.151556,2894.672241,418.6754726,759.3966375,1009.376782,220.8850467,1998.051751,5595.110714,4290.274591,2519.907109,842.0333641,317.2338197
18,69,1,18,1025.324386,110.1763461,1007.039393,8540.951283,9450.139352,2252.132253,247.2922042,1910.668881,1009.376782,692.3320929,1370.766692,3399.192162,3858.432912,1127.999915,682.4094072,612.264983
19,42,1,19,1025.324386,3271.048884,1644.454814,3294.596765,1692.380453,1717.282847,1615.036855,1719.872476,1009.376782,1337.253617,2169.836825,1423.06134,1113.526853,2993.896428,548.3284612,1526.89274
20,66,2,20,2709.36292,1070.622047,1620.173604,4028.67788,2377.872996,4427.636457,1213.447834,1255.647218,202.1503434,107.3076864,17.51675887,283.8541182,121.3463676,17.22515144,179.1551751,178.8088364
21,83,2,21,2709.36292,494.8676557,845.3958273,4196.825343,7141.751392,2700.728672,1250.795562,869.3515486,202.1503434,103.4512842,5.581618394,166.0891253,209.3904614,130.2193139,253.9096691,45.25916327
22,39,2,22,2709.36292,327.8005438,1547.984598,3486.901616,9119.982097,2243.322922,2292.808487,723.2962325,202.1503434,94.25461781,129.8920808,295.8121003,467.4400033,213.0438011,217.1586602,169.7906221
