PID,smiles,Cp mean,Cp median,Cp std,Cp se,Cp min,Cp max
P010001,,0,,,,,
P010002,,0,,,,,
P010003,,0,,,,,
P010004,,0,,,,,
P010007,,0,,,,,
P010014,,0,,,,,
P010068,,0,,,,,
P010070,,0,,,,,
P010071,,0,,,,,
P010072,,0,,,,,
P020001,,0,,,,,
P020041,,0,,,,,
P020061,,0,,,,,
P020062,,0,,,,,
P020108,,0,,,,,
P020110,,0,,,,,
P020151,,0,,,,,
P030001,,0,,,,,
P030010,,0,,,,,
P030024,,0,,,,,
P030026,,0,,,,,
P030037,,0,,,,,
P030071,,0,,,,,
P030121,,0,,,,,
P030132,,0,,,,,
P030177,,0,,,,,
P040002,,0,,,,,
P040003,,0,,,,,
P040006,,0,,,,,
P040007,,0,,,,,
P040017,,0,,,,,
P040047,,0,,,,,
P040048,,0,,,,,
P040049,,0,,,,,
P040052,,0,,,,,
P040054,,0,,,,,
P040056,,0,,,,,
P040060,,0,,,,,
P040228,,0,,,,,
P040339,,0,,,,,
P050001,,0,,,,,
P050002,,0,,,,,
P050003,,0,,,,,
P060002,,0,,,,,
P070001,,0,,,,,
P070013,,0,,,,,
P070014,,0,,,,,
P070056,,0,,,,,
P070060,,0,,,,,
P070064,,0,,,,,
P070066,,0,,,,,
P070074,,0,,,,,
P070076,,0,,,,,
P070079,,0,,,,,
P070089,,0,,,,,
P070090,,0,,,,,
P070310,,0,,,,,
P070366,,0,,,,,
P070369,,0,,,,,
P070466,,0,,,,,
P070498,,0,,,,,
P070557,,0,,,,,
P070561,,0,,,,,
P070646,,0,,,,,
P080097,,0,,,,,
P090020,,0,,,,,
P090027,,0,,,,,
P090043,,0,,,,,
P090093,,0,,,,,
P090094,,0,,,,,
P090095,,0,,,,,
P090096,,0,,,,,
P090097,,0,,,,,
P090098,,0,,,,,
P090134,,0,,,,,
P100004,,0,,,,,
P100005,,0,,,,,
P100009,,0,,,,,
P100024,,0,,,,,
P100025,,0,,,,,
P100456,,0,,,,,
P130002,,0,,,,,
P150011,,0,,,,,
P200020,,0,,,,,
P312010,,0,,,,,
P312012,,0,,,,,
P340017,,0,,,,,
P340018,,0,,,,,
P340070,,0,,,,,
P340071,,0,,,,,
P370131,,0,,,,,
P370215,,0,,,,,
P370823,,0,,,,,
P380140,,0,,,,,
P390214,,0,,,,,
P392501,,0,,,,,
P400140,,0,,,,,
P400143,,0,,,,,
P412164,,0,,,,,
P460064,,0,,,,,
P460067,,0,,,,,
P462237,,0,,,,,
P500002,,0,,,,,
P500003,,0,,,,,
