,kernel_x,kernel_xs,BasisDupl,itr,s_xs,s_x,s_xxs
linear-linear-b0-i0,linear,linear,0.0,0.0,0.5269355878612083,0.49159851750071654,0.6107815991803126
linear-linear-b0-i1,linear,linear,0.0,1.0,0.5198892431085204,0.5540793653104397,0.6352982828089936
linear-linear-b0-i2,linear,linear,0.0,2.0,0.5077493839657145,0.531476835397106,0.6140466218658368
linear-linear-b0-i3,linear,linear,0.0,3.0,0.518264573645717,0.523278386680738,0.6315949853547289
linear-linear-b0-i4,linear,linear,0.0,4.0,0.5052286532394633,0.5140204920728926,0.6216423473395991
linear-linear-b0-i5,linear,linear,0.0,5.0,0.5328470962649486,0.51997676861605,0.6283433516297975
linear-linear-b0-i6,linear,linear,0.0,6.0,0.5233335442819385,0.5141834468663876,0.6253205066443491
linear-linear-b0-i7,linear,linear,0.0,7.0,0.49634586224293015,0.5086035317081247,0.6120847476004696
linear-linear-b0-i8,linear,linear,0.0,8.0,0.5408949070169223,0.5295948047409059,0.6436541239325265
linear-linear-b0-i9,linear,linear,0.0,9.0,0.5329843999885834,0.5110525066563597,0.6189961933238832
linear-linear-b0-i10,linear,linear,0.0,10.0,0.5035580025318697,0.4932026919906909,0.605946186748151
linear-linear-b0-i11,linear,linear,0.0,11.0,0.5326879563842222,0.5222525988339342,0.6273652706769383
linear-linear-b0-i12,linear,linear,0.0,12.0,0.5408519143893209,0.5368211224850743,0.6386233046885956
linear-linear-b0-i13,linear,linear,0.0,13.0,0.5292520668356782,0.5249494362897246,0.6362637996681273
linear-linear-b0-i14,linear,linear,0.0,14.0,0.5265377906719828,0.5133570875351141,0.6289805177733047
linear-linear-b0-i15,linear,linear,0.0,15.0,0.5092794827163989,0.5023766899546217,0.61808808603746
linear-linear-b0-i16,linear,linear,0.0,16.0,0.5323676101269944,0.5448111164794476,0.6442127835728487
linear-linear-b0-i17,linear,linear,0.0,17.0,0.5200877453640522,0.5115273367519189,0.6138856549448073
linear-linear-b0-i18,linear,linear,0.0,18.0,0.5444255102055114,0.5324871979372983,0.6348944646195426
linear-linear-b0-i19,linear,linear,0.0,19.0,0.5387915409127914,0.5285069920414175,0.6365730532219284
linear-linear-b0-i20,linear,linear,0.0,20.0,0.5239007325784774,0.5093344746261733,0.6218429469329011
linear-linear-b0-i21,linear,linear,0.0,21.0,0.5114166404230013,0.497739968632075,0.6108884340117933
linear-linear-b0-i22,linear,linear,0.0,22.0,0.515630562849752,0.5214714544537765,0.6257384183322212
linear-linear-b0-i23,linear,linear,0.0,23.0,0.5383208123563006,0.496312783986536,0.6222386821815292
linear-linear-b0-i24,linear,linear,0.0,24.0,0.5292752014406138,0.5460289906059091,0.6343706765455549
linear-linear-b0-i25,linear,linear,0.0,25.0,0.5179510757684033,0.5032549621134305,0.6128642110648376
linear-linear-b0-i26,linear,linear,0.0,26.0,0.5142098721630085,0.5269757608217064,0.6313567391502433
linear-linear-b0-i27,linear,linear,0.0,27.0,0.5164910765332077,0.4922783393981445,0.6108054590836929
linear-linear-b0-i28,linear,linear,0.0,28.0,0.5256750725301308,0.4950212777629089,0.6133073052919498
linear-linear-b0-i29,linear,linear,0.0,29.0,0.5340313757489707,0.5314641882075041,0.6301298186676709
linear-linear-b0-i30,linear,linear,0.0,30.0,0.524565442662624,0.5035552457553267,0.6108100044621277
linear-linear-b0-i31,linear,linear,0.0,31.0,0.521709580824171,0.5132641384965767,0.6307187307743125
linear-linear-b0-i32,linear,linear,0.0,32.0,0.5132461506269488,0.5410965697325132,0.6307977175711071
linear-linear-b0-i33,linear,linear,0.0,33.0,0.522173666606543,0.5695453244831438,0.6380702357465925
linear-linear-b0-i34,linear,linear,0.0,34.0,0.5489251609841277,0.5433722100882779,0.6547063524304984
linear-linear-b0-i35,linear,linear,0.0,35.0,0.5429843212148372,0.5370618688587917,0.6492013965981442
linear-linear-b0-i36,linear,linear,0.0,36.0,0.5045172552844045,0.5180264587847306,0.6165784985833203
linear-linear-b0-i37,linear,linear,0.0,37.0,0.5028835656421464,0.4973605515848114,0.5976008676866228
linear-linear-b0-i38,linear,linear,0.0,38.0,0.5486684530630627,0.5294551380010499,0.63987328681158
linear-linear-b0-i39,linear,linear,0.0,39.0,0.5282452702049493,0.5408282030156474,0.6231552676121938
linear-linear-b0-i40,linear,linear,0.0,40.0,0.5440991675860154,0.49097279547654066,0.6124116521692894
linear-linear-b0-i41,linear,linear,0.0,41.0,0.5110759706522792,0.5044746326827272,0.6130257223479896
linear-linear-b0-i42,linear,linear,0.0,42.0,0.5356676841060726,0.5163840450717158,0.6254233118544669
linear-linear-b0-i43,linear,linear,0.0,43.0,0.5153318924416878,0.50742094715099,0.6114601292564217
linear-linear-b0-i44,linear,linear,0.0,44.0,0.5362640635733448,0.495515027973659,0.6248516382872384
linear-linear-b0-i45,linear,linear,0.0,45.0,0.5297802048951371,0.513802649500711,0.6045022787536446
linear-linear-b0-i46,linear,linear,0.0,46.0,0.5337713962994883,0.5307906096000884,0.6374160170472866
linear-linear-b0-i47,linear,linear,0.0,47.0,0.5236491741899464,0.5081250502757773,0.62255666261381
linear-linear-b0-i48,linear,linear,0.0,48.0,0.48759691710420794,0.4986072343926078,0.6089160155458893
linear-linear-b0-i49,linear,linear,0.0,49.0,0.5222609745923629,0.5217582551001466,0.6097603977419818
linear-linear-b0-i50,linear,linear,0.0,50.0,0.49874177308137757,0.5467808129459966,0.6243733180525287
linear-linear-b0-i51,linear,linear,0.0,51.0,0.5207138203372049,0.5392381207599621,0.6374019809987274
linear-linear-b0-i52,linear,linear,0.0,52.0,0.5276952225127198,0.5296944589185667,0.6152423307383859
linear-linear-b0-i53,linear,linear,0.0,53.0,0.5359229954150594,0.48458561020457264,0.617819332862843
linear-linear-b0-i54,linear,linear,0.0,54.0,0.5133935325426775,0.5098171461955272,0.612761549518979
linear-linear-b0-i55,linear,linear,0.0,55.0,0.5339247816884555,0.5096843705108127,0.6206922250008124
linear-linear-b0-i56,linear,linear,0.0,56.0,0.502034060099247,0.5085710688317173,0.6027124549318643
linear-linear-b0-i57,linear,linear,0.0,57.0,0.5320897661968612,0.5120644831202124,0.6268966255953334
linear-linear-b0-i58,linear,linear,0.0,58.0,0.5274065814866591,0.5129200503402972,0.5986834343924977
linear-linear-b0-i59,linear,linear,0.0,59.0,0.5271106511815442,0.5078201049447867,0.6211267312273251
linear-linear-b0-i60,linear,linear,0.0,60.0,0.506646737912253,0.5177167507123948,0.6079298674290772
linear-linear-b0-i61,linear,linear,0.0,61.0,0.49762344485554866,0.5285366684360561,0.6088709788050004
linear-linear-b0-i62,linear,linear,0.0,62.0,0.5178022676959733,0.5426801493113592,0.6326703265968323
linear-linear-b0-i63,linear,linear,0.0,63.0,0.4961797167537308,0.53973165210745,0.6109648100817556
linear-linear-b0-i64,linear,linear,0.0,64.0,0.5042434650503571,0.5294838515090503,0.6199804613882706
linear-linear-b0-i65,linear,linear,0.0,65.0,0.5243196689080015,0.5144412094207785,0.6264252325390305
linear-linear-b0-i66,linear,linear,0.0,66.0,0.5109395011564857,0.5332344611496922,0.6171843467172156
linear-linear-b0-i67,linear,linear,0.0,67.0,0.5415918878979328,0.537240808743709,0.6331900667257565
linear-linear-b0-i68,linear,linear,0.0,68.0,0.5152280749614547,0.5013303774913853,0.6061237968559592
